REGIONS;GENDER;YEAR;VALUE
Piemonte;male;2018;13,2
Piemonte;female;2018;17,6
Piemonte;total;2018;15,4
Piemonte;male;2019;14,2 
Piemonte;female;2019;19,1 
Piemonte;total;2019;16,6 
Piemonte;male;2020;16,5 
Piemonte;female;2020;23,4 
Piemonte;total;2020;19,8 
Valle D'Aosta;male;2018;12,1 
Valle D'Aosta;female;2018;14,7 
Valle D'Aosta;total;2018;13,4 
Valle D'Aosta;male;2019;13,2 
Valle D'Aosta;female;2019;16,4 
Valle D'Aosta;total;2019;14,7 
Valle D'Aosta;male;2020;16,4 
Valle D'Aosta;female;2020;17,3 
Valle D'Aosta;total;2020;16,8 
Liguria;male;2018;14,7 
Liguria;female;2018;17,4 
Liguria;total;2018;16,1 
Liguria;male;2019;16,0 
Liguria;female;2019;19,6 
Liguria;total;2019;17,7 
Liguria;male;2020;18,8 
Liguria;female;2020;21,6 
Liguria;total;2020;20,1 
Lombardia;male;2018;10,4 
Lombardia;female;2018;16,0 
Lombardia;total;2018;13,2 
Lombardia;male;2019;11,9 
Lombardia;female;2019;18,0 
Lombardia;total;2019;14,8 
Lombardia;male;2020;15,3 
Lombardia;female;2020;19,7 
Lombardia;total;2020;17,4 
Trentino Alto Adige;male;2018;5,3 
Trentino Alto Adige;female;2018;12,7 
Trentino Alto Adige;total;2018;9,0 
Trentino Alto Adige;male;2019;7,7 
Trentino Alto Adige;female;2019;14,6 
Trentino Alto Adige;total;2019;11,1 
Trentino Alto Adige;male;2020;10,3 
Trentino Alto Adige;female;2020;16,9 
Trentino Alto Adige;total;2020;13,5 
Veneto;male;2018;6,9 
Veneto;female;2018;11,3 
Veneto;total;2018;9,1 
Veneto;male;2019;9,5 
Veneto;female;2019;15,6 
Veneto;total;2019;12,4 
Veneto;male;2020;12,5 
Veneto;female;2020;17,0 
Veneto;total;2020;14,7 
Friuli-Venezia-Giulia;male;2018;9,8 
Friuli-Venezia-Giulia;female;2018;13,9 
Friuli-Venezia-Giulia;total;2018;11,9 
Friuli-Venezia-Giulia;male;2019;11,3 
Friuli-Venezia-Giulia;female;2019;16,3 
Friuli-Venezia-Giulia;total;2019;13,7 
Friuli-Venezia-Giulia;male;2020;10,0 
Friuli-Venezia-Giulia;female;2020;17,4 
Friuli-Venezia-Giulia;total;2020;13,6 
Emilia-Romagna;male;2018;9,6 
Emilia-Romagna;female;2018;14,7 
Emilia-Romagna;total;2018;12,2 
Emilia-Romagna;male;2019;11,0 
Emilia-Romagna;female;2019;17,8 
Emilia-Romagna;total;2019;14,3 
Emilia-Romagna;male;2020;11,8 
Emilia-Romagna;female;2020;20,4 
Emilia-Romagna;total;2020;15,9 
Toscana;male;2018;11,4 
Toscana;female;2018;16,4 
Toscana;total;2018;13,9 
Toscana;male;2019;13,7 
Toscana;female;2019;18,0 
Toscana;total;2019;15,7 
Toscana;male;2020;16,0 
Toscana;female;2020;18,1 
Toscana;total;2020;17,0 
Umbria;male;2018;11,2 
Umbria;female;2018;14,8 
Umbria;total;2018;13,0 
Umbria;male;2019;13,2 
Umbria;female;2019;17,1 
Umbria;total;2019;15,1 
Umbria;male;2020;17,5 
Umbria;female;2020;19,9 
Umbria;total;2020;18,7 
Marche;male;2018;10,3 
Marche;female;2018;16,2 
Marche;total;2018;13,3 
Marche;male;2019;12,1 
Marche;female;2019;18,8 
Marche;total;2019;15,4 
Marche;male;2020;14,7 
Marche;female;2020;21,5 
Marche;total;2020;17,9 
Lazio;male;2018;17,8 
Lazio;female;2018;19,5 
Lazio;total;2018;18,7 
Lazio;male;2019;20,0 
Lazio;female;2019;21,4 
Lazio;total;2019;20,7 
Lazio;male;2020;21,9 
Lazio;female;2020;23,0 
Lazio;total;2020;22,4 
Abruzzo;male;2018;20,5 
Abruzzo;female;2018;20,7 
Abruzzo;total;2018;20,6 
Abruzzo;male;2019;22,8 
Abruzzo;female;2019;22,2 
Abruzzo;total;2019;22,5 
Abruzzo;male;2020;18,6 
Abruzzo;female;2020;22,9 
Abruzzo;total;2020;20,7 
Molise;male;2018;23,4 
Molise;female;2018;20,8 
Molise;total;2018;22,1 
Molise;male;2019;26,0 
Molise;female;2019;23,3 
Molise;total;2019;24,7 
Molise;male;2020;27,2 
Molise;female;2020;29,6 
Molise;total;2020;28,3 
Campania;male;2018;30,2 
Campania;female;2018;32,4 
Campania;total;2018;31,3 
Campania;male;2019;32,9 
Campania;female;2019;35,8 
Campania;total;2019;34,3 
Campania;male;2020;32,9 
Campania;female;2020;36,2 
Campania;total;2020;34,5 
Puglia;male;2018;27,4 
Puglia;female;2018;28,7 
Puglia;total;2018;28,1 
Puglia;male;2019;29,1 
Puglia;female;2019;30,4 
Puglia;total;2019;29,7 
Puglia;male;2020;28,5 
Puglia;female;2020;30,4 
Puglia;total;2020;29,4 
Basilicata;male;2018;19,8 
Basilicata;female;2018;24,7 
Basilicata;total;2018;22,3 
Basilicata;male;2019;23,9 
Basilicata;female;2019;28,3 
Basilicata;total;2019;26,0 
Basilicata;male;2020;25,3 
Basilicata;female;2020;27,4 
Basilicata;total;2020;26,3 
Calabria;male;2018;31,8 
Calabria;female;2018;33,5 
Calabria;total;2018;32,7 
Calabria;male;2019;34,0 
Calabria;female;2019;36,2 
Calabria;total;2019;35,1 
Calabria;male;2020;33,1 
Calabria;female;2020;36,3 
